Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Pash Sunuwar,1,serve,Serve,Slice,86.764526,1,0,0,service_box,deuce,far,-2.229697,18.171671,out,deuce,near,0.254643,-0.700088,2.671045,down the T,In,false,19:18:57,
Pash Sunuwar,1,first_serve,Serve,Slice,65.747261,2,0,0,no_mans_land,deuce,far,-1.859604,19.149796,no_mans_land,deuce,near,0.244975,0.088906,2.611922,down the T,Out,false,19:19:03,
Opponent,2,return,Backhand,Topspin,36.723362,2,0,0,service_box,deuce,near,1.317456,5.721681,no_mans_land,deuce,far,-0.211258,24.281729,0.761102,inside out,In,false,19:19:04,
Pash Sunuwar,3,serve_plus_one,Forehand,Flat,57.112728,2,0,0,service_box,deuce,far,-0.392818,13.443756,no_mans_land,deuce,near,3.432085,0.083583,0.510857,cross court,In,false,19:19:07,
Opponent,4,return_plus_one,FH Volley,Flat,24.633358,2,0,0,no_mans_land,deuce,near,1.240702,2.935713,service_box,deuce,far,-0.392818,14.652544,1.506079,cross court,In,false,19:19:07,
Pash Sunuwar,5,in_play,Forehand,Flat,32.369194,2,0,0,service_box,ad,far,0.893184,15.198214,out,deuce,near,1.584095,-0.772071,1.136056,down the line,In,false,19:19:09,
Opponent,6,in_play,BH Volley,Flat,19.052607,2,0,0,service_box,deuce,near,1.591567,5.963419,service_box,ad,far,0.893184,16.407001,2.721117,down the line,In,false,19:19:11,
Pash Sunuwar,7,in_play,Forehand,Topspin,33.574528,2,0,0,service_box,ad,far,1.767053,16.752121,no_mans_land,deuce,near,2.406317,2.741341,0.695111,down the line,In,false,19:19:12,
Opponent,8,in_play,BH Volley,Flat,23.382744,2,0,0,out,ad,near,-3.467081,-0.900435,service_box,ad,far,1.767053,17.960909,1.852675,cross court,Out,false,19:19:13,
Pash Sunuwar,1,first_serve,Serve,Slice,64.700691,3,0,0,service_box,ad,far,2.180837,16.021946,out,ad,near,-0.785758,-0.686724,2.505882,out wide,In,false,19:19:36,
Opponent,2,return,Backhand,Flat,42.885979,3,0,0,no_mans_land,ad,near,-0.418553,3.396635,no_mans_land,ad,far,2.358867,23.924463,0.554536,cross court,In,false,19:19:37,
Pash Sunuwar,3,serve_plus_one,Forehand,Topspin,42.913662,3,0,0,service_box,ad,far,1.683332,18.171671,out,ad,near,-1.208127,-1.644189,0.704661,inside out,In,false,19:19:39,
