Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Pash S,0,none,Feed,Flat,19.052607,1,1,1,short,deuce,far,-0.685518,15.457281,deep,deuce,near,2.552158,2.042202,1.212122,---,In,false,18:41:37,20.959999
Opponent,1,first_serve,Serve,Slice,59.79858,1,1,1,short,deuce,near,2.672877,8.572415,deep,deuce,far,-0.955677,23.163151,2.550846,out wide,In,false,18:41:54,37.369999
Pash S,2,first_return,Forehand,Flat,35.366428,1,1,1,deep,deuce,far,-1.80259,21.244755,deep,deuce_alley,near,5.276788,0.789605,0.92636,down the line,In,false,18:41:55,38.740002
Opponent,3,serve_plus_one,Forehand,Topspin,45.510433,1,1,1,short,deuce,near,0.073303,6.863545,out,deuce,far,-2.397332,25.882984,1.169574,cross court,In,false,18:41:57,41.040001
Pash S,4,return_plus_one,Forehand,Topspin,44.407497,1,1,1,deep,deuce,far,-1.422143,18.389908,deep,deuce,near,0.367666,-0.378927,1.036998,cross court,In,false,18:41:59,42.580002
Opponent,5,in_play,Forehand,Topspin,53.217064,1,1,1,deep,deuce,near,2.286663,1.431144,out,deuce,far,-2.122126,25.39986,0.909524,cross court,In,false,18:42:00,44.16
Pash S,6,in_play,Forehand,Topspin,44.265747,1,1,1,deep,ad,far,0.400603,19.781519,out,deuce,near,2.590897,-0.578182,0.825708,down the line,In,false,18:42:02,45.41
Opponent,7,in_play,Forehand,Topspin,65.717102,1,1,1,deep,ad,near,-3.522485,3.806973,out,ad,far,0.624686,25.227613,1.338373,inside out,In,false,18:42:03,47
Pash S,8,in_play,Backhand,Slice,37.185963,1,1,1,out,ad_alley,near,-5.184077,-1.652841,deep,ad_alley,near,-4.74103,0.052233,0.601791,cross court,Net,false,18:42:05,48.630001
Pash S,9,none,Feed,Flat,20.346201,1,1,1,short,deuce,far,-0.966178,14.180804,short,deuce,near,1.800296,6.054541,1.058685,---,In,false,18:42:09,52.740002
Opponent,1,first_serve,Serve,Slice,59.110149,2,1,1,short,ad,near,-2.936223,5.747269,deep,ad,far,1.692769,23.494743,2.335179,out wide,In,false,18:42:19,62.259998
Pash S,2,first_return,Forehand,Topspin,39.646118,2,1,1,deep,deuce,far,-1.252089,18.394018,out,ad,near,-3.82983,-1.826143,1.120257,inside in,In,false,18:42:20,63.549999
Opponent,3,serve_plus_one,Forehand,Topspin,36.531799,2,1,1,short,ad,near,-0.503142,5.660437,deep,deuce,far,-0.86172,23.169193,1.132002,down the line,In,false,18:42:22,65.330002
Pash S,4,return_plus_one,Forehand,Topspin,50.237968,2,1,1,short,deuce,far,-2.119286,17.969294,deep,ad,near,-0.624219,-0.352351,1.10474,inside in,In,false,18:42:23,67.139999
Opponent,5,in_play,Forehand,Flat,71.280502,2,1,1,deep,deuce,near,0.549388,4.990166,deep,deuce,far,-1.684281,19.570402,1.712055,cross court,In,false,18:42:25,69.07
Pash S,6,in_play,Forehand,Topspin,45.828953,2,1,1,short,ad,far,0.026934,17.286127,out,deuce,near,0.828985,-0.891569,0.78763,down the line,In,false,18:42:26,69.940002
Opponent,7,in_play,Backhand,Flat,31.242647,2,1,1,short,deuce,near,1.197556,6.320909,out,ad,far,0.267536,25.369169,0.557001,down the line,In,false,18:42:28,71.540001
Pash S,8,in_play,Forehand,Topspin,50.448673,2,1,1,deep,deuce,far,-2.263991,18.640345,deep,deuce,near,2.224704,3.648942,1.049942,cross court,In,false,18:42:30,74.07
